,st,et
0,201005300200,201005300300
1,201005260300,201005260400
2,201006130000,201006130100
3,201006161100,201006161200
4,201005111400,201005111500
5,201005260500,201005260600
6,201005041800,201005041900
7,201006151300,201006151400
8,201005101400,201005101500
9,201006201200,201006201300
10,201005140100,201005140200
11,201005241500,201005241600
12,201005100900,201005101000
13,201005110300,201005110400
14,201005291400,201005291500
15,201005132000,201005132100
16,201005080800,201005080900
17,201006150300,201006150400
18,201006142100,201006142200
19,201006050400,201006050500
20,201005290700,201005290800
21,201006022200,201006022300
22,201006062200,201006062300
23,201006131700,201006131800
24,201006080200,201006080300
25,201006011400,201006011500
26,201006201200,201006201300
27,201006221000,201006221100
28,201005081800,201005081900
29,201005221300,201005221400
30,201006140700,201006140800
31,201006112000,201006112100
32,201006181500,201006181600
33,201005091700,201005091800
34,201006121200,201006121300
35,201006050600,201006050700
36,201006271600,201006271700
37,201005112200,201005112300
38,201005092100,201005092200
39,201006032200,201006032300
40,201006260700,201006260800
41,201005081400,201005081500
42,201005120600,201005120700
43,201006210800,201006210900
44,201006010200,201006010300
45,201005131100,201005131200
46,201005240300,201005240400
47,201005030100,201005030200
48,201006201300,201006201400
49,201005231500,201005231600
50,201005072200,201005072300
51,201006131100,201006131200
52,201005041600,201005041700
53,201005281800,201005281900
54,201005290200,201005290300
55,201006141000,201006141100
56,201006200200,201006200300
57,201005112200,201005112300
58,201006240400,201006240500
59,201006252300,201006260000
60,201006132300,201006140000
61,201006121100,201006121200
62,201006142200,201006142300
63,201005250200,201005250300
64,201005050000,201005050100
65,201005220500,201005220600
66,201005131900,201005132000
67,201006101900,201006102000
68,201005271400,201005271500
69,201005090800,201005090900
70,201006181100,201006181200
71,201005061400,201005061500
72,201006030600,201006030700
73,201006061400,201006061500
74,201005280400,201005280500
75,201006020700,201006020800
76,201006221100,201006221200
77,201005011000,201005011100
78,201005050600,201005050700
79,201006252100,201006252200
80,201005041800,201005041900
81,201005061200,201005061300
82,201005130000,201005130100
83,201006261000,201006261100
84,201006202200,201006202300
85,201005052200,201005052300
86,201005140600,201005140700
87,201006130200,201006130300
88,201005120400,201005120500
89,201006141200,201006141300
90,201005190300,201005190400
91,201005052000,201005052100
92,201006070300,201006070400
93,201005011500,201005011600
94,201006241300,201006241400
95,201005300100,201005300200
96,201006111300,201006111400
97,201005140800,201005140900
98,201005301300,201005301400
99,201006111000,201006111100
