,st,et
0,201005201500,201005201600
1,201006131800,201006131900
2,201006140100,201006140200
3,201005051600,201005051700
4,201006031200,201006031300
5,201005151900,201005152000
6,201006031000,201006031100
7,201006251800,201006251900
8,201005010300,201005010400
9,201005300600,201005300700
10,201006181100,201006181200
11,201005030200,201005030300
12,201005181500,201005181600
13,201006140400,201006140500
14,201005141500,201005141600
15,201005252300,201005260000
16,201005241000,201005241100
17,201006261300,201006261400
18,201006150800,201006150900
19,201006112300,201006120000
20,201005152100,201005152200
21,201006230800,201006230900
22,201005191200,201005191300
23,201005310900,201005311000
24,201006050900,201006051000
25,201005230700,201005230800
26,201006222100,201006222200
27,201006271500,201006271600
28,201006141400,201006141500
29,201006221400,201006221500
30,201006110600,201006110700
31,201005240400,201005240500
32,201006271800,201006271900
33,201005122100,201005122200
34,201005200800,201005200900
35,201006260300,201006260400
36,201005132000,201005132100
37,201005171800,201005171900
38,201005260200,201005260300
39,201006221300,201006221400
40,201005010900,201005011000
41,201005010800,201005010900
42,201005060300,201005060400
43,201006202200,201006202300
44,201005071300,201005071400
45,201005271100,201005271200
46,201006092300,201006100000
47,201006140500,201006140600
48,201005072000,201005072100
49,201005290600,201005290700
50,201005281700,201005281800
51,201006211600,201006211700
52,201006160200,201006160300
53,201005311500,201005311600
54,201006120900,201006121000
55,201006150400,201006150500
56,201005181600,201005181700
57,201006211100,201006211200
58,201005270600,201005270700
59,201006221300,201006221400
60,201006271600,201006271700
61,201005111300,201005111400
62,201006080100,201006080200
63,201006171100,201006171200
64,201005161000,201005161100
65,201005062200,201005062300
66,201006240100,201006240200
67,201005190100,201005190200
68,201005030500,201005030600
69,201005271300,201005271400
70,201005201400,201005201500
71,201005181700,201005181800
72,201006010400,201006010500
73,201005082000,201005082100
74,201006011200,201006011300
75,201006172300,201006180000
76,201005152000,201005152100
77,201005241100,201005241200
78,201006230400,201006230500
79,201006221800,201006221900
80,201005270000,201005270100
81,201005140400,201005140500
82,201006231300,201006231400
83,201005291600,201005291700
84,201005260500,201005260600
85,201006252200,201006252300
86,201005300100,201005300200
87,201005161800,201005161900
88,201005261500,201005261600
89,201005311200,201005311300
90,201005111800,201005111900
91,201005120600,201005120700
92,201005060900,201005061000
93,201006222100,201006222200
94,201005211500,201005211600
95,201005230500,201005230600
96,201006061000,201006061100
97,201006270800,201006270900
98,201005300200,201005300300
99,201006101000,201006101100
